Valid Date time,Valid String,Valid number,Valid Boolean,Valid Category
2020-01-31,soon,58,true,C
2023-03-18,huge,660,false,C
2023-10-27,age,476,true,B
2021-05-08,daughter,456,true,A
2023-06-04,never,829,false,A
2023-03-31,plan,895,true,C
2023-03-03,politics,361,true,C
2023-01-25,sister,935,false,A
2021-11-23,school,1,false,B
2020-08-08,example,387,false,C
2023-09-19,live,973,false,C
2022-01-10,prepare,348,false,A
2022-03-01,throw,190,true,A
2020-05-13,him,505,true,C
2023-09-28,age,191,true,B
2022-12-24,apply,508,true,A
2020-04-08,employee,369,false,B
2021-02-15,democratic,409,false,A
2023-06-06,apply,824,true,A
2023-04-03,general,929,false,B
2020-02-24,house,934,false,B
2021-08-21,image,117,true,C
2021-01-27,important,134,false,A
2023-03-13,early,58,false,A
2023-05-12,test,556,true,A
2023-06-17,kid,685,true,C
2022-11-16,ball,672,false,C
2021-12-12,laugh,173,true,A
2023-05-03,medical,829,false,B
2021-10-18,month,815,false,C
2022-02-08,him,149,true,A
2022-10-18,assume,80,true,C
2020-06-03,prepare,886,false,C
2021-04-26,indeed,213,true,C
2022-05-01,word,203,true,B
2020-04-05,enough,764,false,B
2022-02-24,mention,229,false,D
2022-03-09,age,676,true,C
2023-08-01,approach,227,true,A
2022-05-13,energy,659,false,C
2020-10-06,will,532,true,C
2021-01-22,shake,441,true,D
2023-01-10,current,402,false,D
2022-02-22,out,47,false,A
2020-02-06,with,233,false,A
2023-10-31,attack,305,false,A
2020-12-09,population,526,false,A
2020-09-29,station,143,false,C
2020-11-15,message,415,true,B
2020-10-23,throughout,513,false,D
2023-12-16,I,373,true,B
2021-08-17,practice,566,false,D
2020-12-03,tax,886,false,C
2021-09-07,force,259,true,A
2022-02-21,include,656,true,A
2022-11-22,thank,471,false,D
2021-10-12,tax,953,false,C
2022-03-21,quality,971,false,D
2021-07-23,none,12,true,A
2023-04-15,computer,330,true,C
2020-11-22,expert,736,false,B
2023-08-26,offer,784,false,D
2021-03-22,memory,968,false,C
2020-11-20,suggest,358,false,D
2022-12-06,it,972,false,D
2022-05-04,car,408,false,D
2021-08-02,real,668,false,B
2021-12-04,sound,373,true,B
2020-08-01,middle,8,false,B
2021-06-08,recognize,122,false,C
2022-09-17,thing,348,true,A
2021-02-26,cold,676,false,C
2023-08-02,edge,90,true,C
2023-01-16,cold,648,false,D
2020-07-04,fact,698,false,D
2023-02-25,return,316,false,B
2021-11-15,seek,178,true,B
2021-03-02,less,540,false,B
2022-11-27,Democrat,732,false,C
2022-03-20,just,869,true,A
2023-09-10,man,41,true,B
2021-02-01,particular,740,false,A
2022-02-23,campaign,704,false,D
2022-10-02,conference,923,false,A
2021-05-09,subject,502,true,A
2020-03-16,effort,959,false,A
2023-02-05,east,145,false,D
2022-02-16,similar,201,false,B
2021-07-29,buy,929,false,A
2021-10-02,figure,724,false,D
2021-06-13,box,461,false,B
2020-09-01,guess,732,true,B
2020-11-16,little,752,false,A
2022-02-25,why,925,true,C
2022-02-11,particular,909,false,C
2023-10-15,call,558,false,D
2020-12-29,treatment,547,false,A
2023-04-10,vote,253,false,D
2023-04-03,recently,390,true,B
2021-06-06,discussion,594,false,A
2021-04-20,apply,883,true,C
2023-01-13,meeting,256,false,C
2022-03-27,race,709,false,A
2021-07-02,ability,815,true,B
2021-11-12,player,921,false,A
2021-10-09,so,450,true,B
2022-03-12,story,10,true,D
2021-04-07,spend,824,true,D
2021-05-08,administration,798,false,D
2021-11-30,question,242,true,D
2020-04-23,mission,251,false,B
